country,year,reg_4state,sec_reg_name
"Afghanistan",1987,"Central Bank/MoF","Neither"
"Afghanistan",1988,"Central Bank/MoF","Neither"
"Afghanistan",1989,"Central Bank/MoF","Neither"
"Afghanistan",1990,"Central Bank/MoF","Neither"
"Afghanistan",1991,"Central Bank/MoF","Neither"
"Afghanistan",1992,"Central Bank/MoF","Neither"
"Afghanistan",1993,"Central Bank/MoF","Neither"
"Afghanistan",1994,"Central Bank/MoF","Neither"
"Afghanistan",1995,"Central Bank/MoF","Neither"
"Afghanistan",1996,"Central Bank/MoF","Neither"
"Afghanistan",1997,"Central Bank/MoF","Neither"
"Afghanistan",1998,"Central Bank/MoF","Neither"
"Afghanistan",1999,"Central Bank/MoF","Neither"
"Afghanistan",2000,"Central Bank/MoF","Neither"
"Afghanistan",2001,"Central Bank/MoF","Neither"
"Afghanistan",2002,"Central Bank/MoF","Neither"
"Afghanistan",2003,"Central Bank/MoF","Neither"
"Afghanistan",2004,"Central Bank/MoF","Neither"
"Afghanistan",2005,"Central Bank/MoF","Neither"
"Afghanistan",2006,"Central Bank/MoF","Neither"
"Albania",1987,"Central Bank/MoF","Neither"
"Albania",1988,"Central Bank/MoF","Neither"
"Albania",1989,"Central Bank/MoF","Neither"
"Albania",1990,"Central Bank/MoF","Neither"
"Albania",1991,"Central Bank/MoF","Neither"
"Albania",1992,"Central Bank/MoF","Neither"
"Albania",1993,"Central Bank/MoF","Neither"
"Albania",1994,"Central Bank/MoF","Neither"
"Albania",1995,"Central Bank/MoF","Neither"
"Albania",1996,"Central Bank/MoF","Neither"
"Albania",1997,"Central Bank/MoF","Neither"
"Albania",1998,"Central Bank/MoF","Neither"
"Albania",1999,"Central Bank/MoF","Neither"
"Albania",2000,"Central Bank/MoF","Neither"
"Albania",2001,"Central Bank/MoF","Neither"
"Albania",2002,"Central Bank/MoF","Neither"
"Albania",2003,"Central Bank/MoF","Neither"
"Albania",2004,"Central Bank/MoF","Neither"
"Albania",2005,"Central Bank/MoF","Neither"
"Albania",2006,"Central Bank/Multiple Specialised","FSA"
"Argentina",1987,"Central Bank/Multiple Specialised","Neither"
"Argentina",1988,"Central Bank/Multiple Specialised","Neither"
"Argentina",1989,"Central Bank/Multiple Specialised","Neither"
"Argentina",1990,"Central Bank/Multiple Specialised","Neither"
"Argentina",1991,"Central Bank/Multiple Specialised","Neither"
"Argentina",1992,"Central Bank/Multiple Specialised","Neither"
"Argentina",1993,"Central Bank/Multiple Specialised","Neither"
"Argentina",1994,"Central Bank/Multiple Specialised","Neither"
"Argentina",1995,"Central Bank/Multiple Specialised","Neither"
"Argentina",1996,"Central Bank/Multiple Specialised","Neither"
"Argentina",1997,"Central Bank/Multiple Specialised","Neither"
"Argentina",1998,"Central Bank/Multiple Specialised","Neither"
"Argentina",1999,"Central Bank/Multiple Specialised","Neither"
"Argentina",2000,"Central Bank/Multiple Specialised","Neither"
"Argentina",2001,"Central Bank/Multiple Specialised","Neither"
"Argentina",2002,"Central Bank/Multiple Specialised","Neither"
"Argentina",2003,"Central Bank/Multiple Specialised","Neither"
"Argentina",2004,"Central Bank/Multiple Specialised","Neither"
"Argentina",2005,"Central Bank/Multiple Specialised","Neither"
"Argentina",2006,"Central Bank/Multiple Specialised","Neither"
"Australia",1987,"Central Bank/Multiple Specialised","Neither"
"Australia",1988,"Central Bank/Multiple Specialised","Neither"
"Australia",1989,"Central Bank/Multiple Specialised","Neither"
"Australia",1990,"Central Bank/Multiple Specialised","Neither"
"Australia",1991,"Central Bank/Multiple Specialised","Neither"
"Australia",1992,"Central Bank/Multiple Specialised","Neither"
