idn,country,year,reg_4state
1,"Afghanistan",1987,1
1,"Afghanistan",1988,1
1,"Afghanistan",1989,1
1,"Afghanistan",1990,1
1,"Afghanistan",1991,1
1,"Afghanistan",1992,1
1,"Afghanistan",1993,1
1,"Afghanistan",1994,1
1,"Afghanistan",1995,1
1,"Afghanistan",1996,1
1,"Afghanistan",1997,1
1,"Afghanistan",1998,1
1,"Afghanistan",1999,1
1,"Afghanistan",2000,1
1,"Afghanistan",2001,1
1,"Afghanistan",2002,1
1,"Afghanistan",2003,1
1,"Afghanistan",2004,1
1,"Afghanistan",2005,1
1,"Afghanistan",2006,1
2,"Albania",1987,1
2,"Albania",1988,1
2,"Albania",1989,1
2,"Albania",1990,1
2,"Albania",1991,1
2,"Albania",1992,1
2,"Albania",1993,1
2,"Albania",1994,1
2,"Albania",1995,1
2,"Albania",1996,1
2,"Albania",1997,1
2,"Albania",1998,1
2,"Albania",1999,1
2,"Albania",2000,1
2,"Albania",2001,1
2,"Albania",2002,1
2,"Albania",2003,1
2,"Albania",2004,1
2,"Albania",2005,1
2,"Albania",2006,4
3,"Argentina",1987,4
3,"Argentina",1988,4
3,"Argentina",1989,4
3,"Argentina",1990,4
3,"Argentina",1991,4
3,"Argentina",1992,4
3,"Argentina",1993,4
3,"Argentina",1994,4
3,"Argentina",1995,4
3,"Argentina",1996,4
3,"Argentina",1997,4
3,"Argentina",1998,4
3,"Argentina",1999,4
3,"Argentina",2000,4
3,"Argentina",2001,4
3,"Argentina",2002,4
3,"Argentina",2003,4
3,"Argentina",2004,4
3,"Argentina",2005,4
3,"Argentina",2006,4
4,"Australia",1987,4
4,"Australia",1988,4
4,"Australia",1989,4
4,"Australia",1990,4
4,"Australia",1991,4
4,"Australia",1992,4
4,"Australia",1993,4
4,"Australia",1994,4
4,"Australia",1995,4
4,"Australia",1996,4
4,"Australia",1997,4
4,"Australia",1998,2
4,"Australia",1999,2
4,"Australia",2000,2
4,"Australia",2001,2
4,"Australia",2002,2
4,"Australia",2003,2
4,"Australia",2004,2
4,"Australia",2005,2
4,"Australia",2006,2
5,"Austria",1987,1
5,"Austria",1988,1
5,"Austria",1989,1
5,"Austria",1990,1
5,"Austria",1991,1
5,"Austria",1992,1
5,"Austria",1993,1
5,"Austria",1994,1
5,"Austria",1995,1
5,"Austria",1996,1
5,"Austria",1997,1
5,"Austria",1998,1
5,"Austria",1999,1
5,"Austria",2000,1
5,"Austria",2001,1
5,"Austria",2002,3
5,"Austria",2003,3
5,"Austria",2004,3
5,"Austria",2005,3
5,"Austria",2006,3
6,"Bahamas",1987,1
6,"Bahamas",1988,1
6,"Bahamas",1989,1
6,"Bahamas",1990,1
6,"Bahamas",1991,1
6,"Bahamas",1992,1
6,"Bahamas",1993,1
6,"Bahamas",1994,1
6,"Bahamas",1995,1
6,"Bahamas",1996,1
6,"Bahamas",1997,1
6,"Bahamas",1998,1
6,"Bahamas",1999,4
6,"Bahamas",2000,4
6,"Bahamas",2001,4
6,"Bahamas",2002,4
6,"Bahamas",2003,4
6,"Bahamas",2004,4
6,"Bahamas",2005,4
6,"Bahamas",2006,4
7,"Bahrain",1987,1
7,"Bahrain",1988,1
7,"Bahrain",1989,1
7,"Bahrain",1990,1
7,"Bahrain",1991,1
7,"Bahrain",1992,1
7,"Bahrain",1993,1
7,"Bahrain",1994,1
7,"Bahrain",1995,1
7,"Bahrain",1996,1
7,"Bahrain",1997,1
7,"Bahrain",1998,1
7,"Bahrain",1999,1
7,"Bahrain",2000,1
7,"Bahrain",2001,1
7,"Bahrain",2002,1
7,"Bahrain",2003,1
7,"Bahrain",2004,1
7,"Bahrain",2005,1
7,"Bahrain",2006,1
8,"Bangladesh",1987,1
8,"Bangladesh",1988,1
8,"Bangladesh",1989,1
8,"Bangladesh",1990,1
8,"Bangladesh",1991,1
8,"Bangladesh",1992,1
8,"Bangladesh",1993,1
8,"Bangladesh",1994,1
8,"Bangladesh",1995,1
8,"Bangladesh",1996,1
8,"Bangladesh",1997,1
8,"Bangladesh",1998,1
8,"Bangladesh",1999,1
8,"Bangladesh",2000,1
8,"Bangladesh",2001,1
8,"Bangladesh",2002,1
8,"Bangladesh",2003,1
8,"Bangladesh",2004,1
8,"Bangladesh",2005,1
8,"Bangladesh",2006,1
9,"Barbados",1987,1
9,"Barbados",1988,1
9,"Barbados",1989,1
9,"Barbados",1990,1
9,"Barbados",1991,1
9,"Barbados",1992,1
9,"Barbados",1993,1
9,"Barbados",1994,1
9,"Barbados",1995,1
9,"Barbados",1996,1
9,"Barbados",1997,1
9,"Barbados",1998,1
9,"Barbados",1999,1
9,"Barbados",2000,1
9,"Barbados",2001,4
9,"Barbados",2002,4
9,"Barbados",2003,4
9,"Barbados",2004,4
9,"Barbados",2005,4
9,"Barbados",2006,4
10,"Belgium",1987,2
10,"Belgium",1988,2
10,"Belgium",1989,2
10,"Belgium",1990,2
10,"Belgium",1991,2
10,"Belgium",1992,2
10,"Belgium",1993,2
10,"Belgium",1994,2
10,"Belgium",1995,2
10,"Belgium",1996,2
10,"Belgium",1997,2
10,"Belgium",1998,2
10,"Belgium",1999,2
10,"Belgium",2000,2
10,"Belgium",2001,2
10,"Belgium",2002,3
10,"Belgium",2003,3
10,"Belgium",2004,3
10,"Belgium",2005,3
10,"Belgium",2006,3
11,"Brazil",1987,1
11,"Brazil",1988,1
11,"Brazil",1989,1
11,"Brazil",1990,1
11,"Brazil",1991,1
11,"Brazil",1992,1
11,"Brazil",1993,1
11,"Brazil",1994,1
11,"Brazil",1995,1
11,"Brazil",1996,1
11,"Brazil",1997,1
11,"Brazil",1998,1
11,"Brazil",1999,1
11,"Brazil",2000,1
11,"Brazil",2001,1
11,"Brazil",2002,1
11,"Brazil",2003,1
11,"Brazil",2004,1
11,"Brazil",2005,1
11,"Brazil",2006,1
12,"Brunei Darussalam",1987,1
12,"Brunei Darussalam",1988,1
12,"Brunei Darussalam",1989,1
12,"Brunei Darussalam",1990,1
12,"Brunei Darussalam",1991,1
12,"Brunei Darussalam",1992,1
12,"Brunei Darussalam",1993,1
12,"Brunei Darussalam",1994,1
12,"Brunei Darussalam",1995,1
12,"Brunei Darussalam",1996,1
12,"Brunei Darussalam",1997,1
12,"Brunei Darussalam",1998,1
12,"Brunei Darussalam",1999,1
12,"Brunei Darussalam",2000,1
12,"Brunei Darussalam",2001,1
12,"Brunei Darussalam",2002,1
12,"Brunei Darussalam",2003,1
12,"Brunei Darussalam",2004,1
12,"Brunei Darussalam",2005,1
12,"Brunei Darussalam",2006,1
13,"Bulgaria",1987,1
13,"Bulgaria",1988,1
13,"Bulgaria",1989,1
13,"Bulgaria",1990,1
13,"Bulgaria",1991,1
13,"Bulgaria",1992,1
13,"Bulgaria",1993,1
13,"Bulgaria",1994,1
13,"Bulgaria",1995,1
13,"Bulgaria",1996,1
13,"Bulgaria",1997,1
13,"Bulgaria",1998,1
13,"Bulgaria",1999,1
13,"Bulgaria",2000,1
13,"Bulgaria",2001,1
13,"Bulgaria",2002,1
13,"Bulgaria",2003,4
13,"Bulgaria",2004,4
13,"Bulgaria",2005,4
13,"Bulgaria",2006,4
14,"Canada",1987,2
14,"Canada",1988,2
14,"Canada",1989,2
14,"Canada",1990,2
14,"Canada",1991,2
14,"Canada",1992,2
14,"Canada",1993,2
14,"Canada",1994,2
14,"Canada",1995,2
14,"Canada",1996,2
14,"Canada",1997,2
14,"Canada",1998,2
14,"Canada",1999,2
14,"Canada",2000,2
14,"Canada",2001,2
14,"Canada",2002,2
14,"Canada",2003,2
14,"Canada",2004,2
14,"Canada",2005,2
14,"Canada",2006,2
15,"Chile",1987,2
15,"Chile",1988,2
15,"Chile",1989,2
15,"Chile",1990,2
15,"Chile",1991,2
15,"Chile",1992,2
15,"Chile",1993,2
15,"Chile",1994,2
15,"Chile",1995,2
15,"Chile",1996,2
15,"Chile",1997,2
15,"Chile",1998,2
15,"Chile",1999,2
15,"Chile",2000,2
15,"Chile",2001,2
15,"Chile",2002,2
15,"Chile",2003,2
15,"Chile",2004,2
15,"Chile",2005,2
15,"Chile",2006,2
16,"China",1987,1
16,"China",1988,1
16,"China",1989,1
16,"China",1990,1
16,"China",1991,1
16,"China",1992,1
16,"China",1993,1
16,"China",1994,1
16,"China",1995,1
16,"China",1996,1
16,"China",1997,1
16,"China",1998,1
16,"China",1999,1
16,"China",2000,1
16,"China",2001,1
16,"China",2002,1
16,"China",2003,1
16,"China",2004,2
16,"China",2005,2
16,"China",2006,2
17,"Colombia",1987,2
17,"Colombia",1988,2
17,"Colombia",1989,2
17,"Colombia",1990,2
17,"Colombia",1991,2
17,"Colombia",1992,2
17,"Colombia",1993,2
17,"Colombia",1994,2
17,"Colombia",1995,2
17,"Colombia",1996,2
17,"Colombia",1997,2
17,"Colombia",1998,2
17,"Colombia",1999,2
17,"Colombia",2000,2
17,"Colombia",2001,2
17,"Colombia",2002,2
17,"Colombia",2003,2
17,"Colombia",2004,2
17,"Colombia",2005,3
17,"Colombia",2006,3
18,"Croatia",1991,1
18,"Croatia",1992,1
18,"Croatia",1993,1
18,"Croatia",1994,1
18,"Croatia",1995,1
18,"Croatia",1996,1
18,"Croatia",1997,1
18,"Croatia",1998,1
18,"Croatia",1999,1
18,"Croatia",2000,1
18,"Croatia",2001,1
18,"Croatia",2002,1
18,"Croatia",2003,1
18,"Croatia",2004,1
18,"Croatia",2005,4
18,"Croatia",2006,4
19,"Cyprus",1987,1
19,"Cyprus",1988,1
19,"Cyprus",1989,1
19,"Cyprus",1990,1
19,"Cyprus",1991,1
19,"Cyprus",1992,1
19,"Cyprus",1993,1
19,"Cyprus",1994,1
19,"Cyprus",1995,1
19,"Cyprus",1996,1
19,"Cyprus",1997,1
19,"Cyprus",1998,1
19,"Cyprus",1999,1
19,"Cyprus",2000,1
19,"Cyprus",2001,2
19,"Cyprus",2002,2
19,"Cyprus",2003,2
19,"Cyprus",2004,2
19,"Cyprus",2005,2
19,"Cyprus",2006,2
20,"Czech Republic",1993,1
20,"Czech Republic",1994,1
20,"Czech Republic",1995,1
20,"Czech Republic",1996,1
20,"Czech Republic",1997,1
20,"Czech Republic",1998,1
20,"Czech Republic",1999,1
20,"Czech Republic",2000,1
20,"Czech Republic",2001,1
20,"Czech Republic",2002,1
20,"Czech Republic",2003,1
20,"Czech Republic",2004,1
20,"Czech Republic",2005,1
20,"Czech Republic",2006,1
21,"Denmark",1987,2
21,"Denmark",1988,3
21,"Denmark",1989,3
21,"Denmark",1990,3
21,"Denmark",1991,3
21,"Denmark",1992,3
21,"Denmark",1993,3
21,"Denmark",1994,3
21,"Denmark",1995,3
21,"Denmark",1996,3
21,"Denmark",1997,3
21,"Denmark",1998,3
21,"Denmark",1999,3
21,"Denmark",2000,3
21,"Denmark",2001,3
21,"Denmark",2002,3
21,"Denmark",2003,3
21,"Denmark",2004,3
21,"Denmark",2005,3
21,"Denmark",2006,3
22,"Dominican Republic",1987,4
22,"Dominican Republic",1988,4
22,"Dominican Republic",1989,4
22,"Dominican Republic",1990,4
22,"Dominican Republic",1991,4
22,"Dominican Republic",1992,4
22,"Dominican Republic",1993,4
22,"Dominican Republic",1994,4
22,"Dominican Republic",1995,4
22,"Dominican Republic",1996,4
22,"Dominican Republic",1997,4
22,"Dominican Republic",1998,4
22,"Dominican Republic",1999,4
22,"Dominican Republic",2000,4
22,"Dominican Republic",2001,4
22,"Dominican Republic",2002,4
22,"Dominican Republic",2003,4
22,"Dominican Republic",2004,4
22,"Dominican Republic",2005,4
22,"Dominican Republic",2006,4
23,"Ecuador",1987,2
23,"Ecuador",1988,2
23,"Ecuador",1989,2
23,"Ecuador",1990,2
23,"Ecuador",1991,2
23,"Ecuador",1992,2
23,"Ecuador",1993,2
23,"Ecuador",1994,2
23,"Ecuador",1995,2
23,"Ecuador",1996,2
23,"Ecuador",1997,2
23,"Ecuador",1998,2
23,"Ecuador",1999,2
23,"Ecuador",2000,2
23,"Ecuador",2001,2
23,"Ecuador",2002,2
23,"Ecuador",2003,2
23,"Ecuador",2004,2
23,"Ecuador",2005,2
23,"Ecuador",2006,2
24,"Egypt",1987,2
24,"Egypt",1988,2
24,"Egypt",1989,2
24,"Egypt",1990,2
24,"Egypt",1991,2
24,"Egypt",1992,2
24,"Egypt",1993,2
24,"Egypt",1994,2
24,"Egypt",1995,2
24,"Egypt",1996,2
24,"Egypt",1997,2
24,"Egypt",1998,2
24,"Egypt",1999,2
24,"Egypt",2000,2
24,"Egypt",2001,2
24,"Egypt",2002,2
24,"Egypt",2003,2
24,"Egypt",2004,2
24,"Egypt",2005,2
24,"Egypt",2006,2
25,"El Salvador",1987,2
25,"El Salvador",1988,2
25,"El Salvador",1989,2
25,"El Salvador",1990,2
25,"El Salvador",1991,2
25,"El Salvador",1992,2
25,"El Salvador",1993,2
25,"El Salvador",1994,2
25,"El Salvador",1995,2
25,"El Salvador",1996,2
25,"El Salvador",1997,2
25,"El Salvador",1998,2
25,"El Salvador",1999,2
25,"El Salvador",2000,2
25,"El Salvador",2001,2
25,"El Salvador",2002,2
25,"El Salvador",2003,2
25,"El Salvador",2004,2
25,"El Salvador",2005,2
25,"El Salvador",2006,2
26,"Estonia",1991,1
26,"Estonia",1992,1
26,"Estonia",1993,1
26,"Estonia",1994,1
26,"Estonia",1995,1
26,"Estonia",1996,1
26,"Estonia",1997,1
26,"Estonia",1998,2
26,"Estonia",1999,2
26,"Estonia",2000,2
26,"Estonia",2001,2
26,"Estonia",2002,3
26,"Estonia",2003,3
26,"Estonia",2004,3
26,"Estonia",2005,3
26,"Estonia",2006,3
27,"Finland",1987,1
27,"Finland",1988,1
27,"Finland",1989,1
27,"Finland",1990,1
27,"Finland",1991,1
27,"Finland",1992,1
27,"Finland",1993,1
27,"Finland",1994,1
27,"Finland",1995,1
27,"Finland",1996,1
27,"Finland",1997,1
27,"Finland",1998,1
27,"Finland",1999,1
27,"Finland",2000,1
27,"Finland",2001,1
27,"Finland",2002,1
27,"Finland",2003,3
27,"Finland",2004,3
27,"Finland",2005,3
27,"Finland",2006,3
28,"France",1987,2
28,"France",1988,2
28,"France",1989,2
28,"France",1990,2
28,"France",1991,2
28,"France",1992,2
28,"France",1993,2
28,"France",1994,2
28,"France",1995,2
28,"France",1996,2
28,"France",1997,2
28,"France",1998,2
28,"France",1999,2
28,"France",2000,2
28,"France",2001,2
28,"France",2002,2
28,"France",2003,2
28,"France",2004,2
28,"France",2005,2
28,"France",2006,2
29,"Germany",1987,4
29,"Germany",1988,4
29,"Germany",1989,4
29,"Germany",1990,4
29,"Germany",1991,4
29,"Germany",1992,4
29,"Germany",1993,4
29,"Germany",1994,4
29,"Germany",1995,4
29,"Germany",1996,4
